id,area,major_axis,minor_axis,angle,circularity,feret_diameter,aspect_ratio,roundness,solidity,defect_type
LR8.A.12,48.211,9.201,6.671,162.853,0.906,10.357,1.379,0.725,0.879,Pore
LR8.A.13,14.463,5.976,3.081,162.007,1,6.401,1.939,0.516,0.889,Pore
LR8.A.14,27.721,7.739,4.561,59.631,0.824,8.574,1.697,0.589,0.821,Pore
LR8.A.15,520.676,37.281,17.782,6.627,0.7,38.675,2.097,0.477,0.9,Lack of Fusion
LR8.A.16,17792.178,232.45,97.456,26.268,0.135,336.61,2.385,0.419,0.484,Lack of Fusion
LR8.A.17,54.237,8.915,7.747,114.875,1,9.819,1.151,0.869,0.918,Pore
LR8.A.18,4856.028,122.301,50.555,20.976,0.452,135.178,2.419,0.413,0.75,Lack of Fusion
LR8.A.19,366.402,21.88,21.321,148.778,0.603,27.99,1.026,0.974,0.826,Lack of Fusion
LR8.A.20,4143.714,101.521,51.969,153.501,0.297,125.597,1.953,0.512,0.561,Lack of Fusion
LR8.A.21,7943.927,164.19,61.603,142.153,0.22,206.246,2.665,0.375,0.589,Lack of Fusion
LR8.A.22,69.906,10.039,8.866,65.685,0.905,11.303,1.132,0.883,0.853,Pore
LR8.A.23,6066.118,108.278,71.331,79.307,0.59,115.697,1.518,0.659,0.836,Lack of Fusion
LR8.A.24,16126.497,210.573,97.51,115.287,0.176,285.561,2.16,0.463,0.52,Lack of Fusion
LR8.A.25,84.369,11.687,9.192,137.588,0.938,12.517,1.271,0.786,0.87,Pore
LR8.A.26,7135.191,137.266,66.184,28.935,0.292,181.61,2.074,0.482,0.601,Lack of Fusion
LR8.A.27,740.035,56.004,16.824,67.663,0.404,58.465,3.329,0.3,0.674,Lack of Fusion
LR8.A.28,2364.737,66.911,44.998,90.057,0.658,78.463,1.487,0.673,0.901,Lack of Fusion
LR8.A.29,868.999,66.634,16.605,91.275,0.364,69.33,4.013,0.249,0.773,Lack of Fusion
LR8.A.30,1944.099,81.209,30.481,83.997,0.293,88.279,2.664,0.375,0.724,Lack of Fusion
LR8.A.31,21881.655,231.617,120.287,169.763,0.188,309.486,1.926,0.519,0.591,Lack of Fusion
LR8.A.32,21.695,5.872,4.704,0,1,6.401,1.248,0.801,0.947,Pore
LR8.A.33,16308.492,207.908,99.874,17.012,0.305,261.751,2.082,0.48,0.695,Lack of Fusion
LR8.A.34,20.49,5.71,4.569,45,0.985,6.401,1.25,0.8,0.829,Pore
LR8.A.35,8542.945,180.728,60.186,131.264,0.263,233.821,3.003,0.333,0.609,Lack of Fusion
LR8.A.36,214.538,17.4,15.699,73.147,0.959,18.272,1.108,0.902,0.937,Pore
LR8.A.37,5291.13,112.058,60.12,62.86,0.377,136.716,1.864,0.537,0.705,Lack of Fusion
LR8.A.38,13762.965,235.37,74.451,169.759,0.232,263.495,3.161,0.316,0.577,Lack of Fusion
LR8.A.39,497.776,40.033,15.831,156.868,0.403,51.177,2.529,0.395,0.803,Lack of Fusion
LR8.A.40,1253.48,60.299,26.468,178.233,0.5,67.399,2.278,0.439,0.785,Lack of Fusion
LR8.A.41,6318.019,119.426,67.358,148.789,0.183,215.539,1.773,0.564,0.382,Lack of Fusion
LR8.A.42,1253.48,51.313,31.103,110.572,0.443,67.113,1.65,0.606,0.775,Lack of Fusion
LR8.A.43,9849.457,157.054,79.85,12.259,0.555,169.425,1.967,0.508,0.888,Lack of Fusion
LR8.A.44,3892.57,124.443,39.827,164.789,0.279,149.576,3.125,0.32,0.817,Lack of Fusion
LR8.A.45,195370.23,950.344,261.751,7.325,0.159,1101.061,3.631,0.275,0.495,Lack of Fusion
LR8.A.46,332.75,21.642,19.576,40.734,0.936,22.89,1.106,0.905,0.939,Pore
LR8.A.47,5423.22,145.577,47.432,122.119,0.522,148.667,3.069,0.326,0.919,Lack of Fusion
LR8.A.48,10770.21,220.323,62.241,73.784,0.245,235.785,3.54,0.282,0.608,Lack of Fusion
LR8.A.49,30162.88,439.369,87.409,96.86,0.195,522.222,5.027,0.199,0.6,Lack of Fusion
LR8.A.50,10157.95,305.555,42.328,18.296,0.215,325.607,7.219,0.139,0.7,Lack of Fusion
LR8.A.51,10157.95,163.243,79.228,154.195,0.538,184.016,2.06,0.485,0.882,Lack of Fusion
LR8.A.52,1392.71,45.043,39.368,140.176,0.909,46.617,1.144,0.874,0.962,Pore
LR8.A.53,98639.2,491.99,255.272,55.493,0.088,739.385,1.927,0.519,0.445,Lack of Fusion
LR8.A.54,11377.63,198.461,72.994,88.413,0.22,286.076,2.719,0.368,0.514,Lack of Fusion
LR8.A.55,5700.31,131.645,55.132,125.772,0.472,134.326,2.388,0.419,0.745,Lack of Fusion
